mol_id,status,HOMO_eV,LUMO_eV,HOMO_LUMO_gap_eV,error,split
MOL_34805,success,-9.25165373,-8.25868385,0.99296988,,train
MOL_38324,success,-9.25957696,-8.20845852,1.05111844,,train
MOL_99098,success,-8.9893583,-8.46704718,0.52231112,,train
MOL_18039,success,-8.98438215,-8.47758427,0.50679788,,train
MOL_74772,success,-8.80796099,-8.70051153,0.10744946,,train
MOL_38000,success,-9.11112358,-8.35214593,0.75897765,,train
MOL_52223,success,-9.33857075,-8.16418785,1.1743829,,train
MOL_11159,success,-9.25525293,-8.22262552,1.03262742,,train
MOL_34340,success,-9.31884083,-8.16040558,1.15843525,,train
MOL_59545,success,-9.05671225,-8.50510895,0.55160329,,train
MOL_70297,success,-9.28511648,-8.183172,1.10194448,,train
MOL_02621,success,-8.79622079,-8.7803935,0.01582728,,train
MOL_77380,success,-9.40824524,-8.08042554,1.3278197,,train
MOL_90930,success,-9.18273464,-8.36914841,0.81358622,,train
MOL_75219,success,-9.29565265,-8.18069777,1.11495488,,train
MOL_81050,success,-9.18567377,-8.3163366,0.86933718,,train
MOL_41577,success,-9.53802697,-7.91970513,1.61832184,,train
MOL_95218,success,-9.23174301,-8.18904537,1.04269764,,train
MOL_75514,success,-9.27204989,-8.23535757,1.03669231,,train
MOL_74224,success,-9.29172739,-8.21889694,1.07283045,,train
MOL_85354,success,-8.89229346,-8.62228456,0.2700089,,train
MOL_86357,success,-8.92885632,-8.63416112,0.2946952,,train
MOL_68851,success,-9.24818397,-8.20846165,1.03972233,,train
MOL_07469,success,-8.97174116,-8.53674626,0.4349949,,train
MOL_72185,success,-8.72983381,-8.719409,0.01042481,,train
MOL_66595,success,-9.25421061,-8.30442277,0.94978783,,train
MOL_09384,success,-8.97331228,-8.57471707,0.3985952,,train
MOL_30462,success,-8.81132007,-8.67398504,0.13733503,,train
MOL_75778,success,-8.94934386,-8.56267411,0.38666975,,train
MOL_31565,success,-9.18943065,-8.33835523,0.85107542,,train
MOL_46949,success,-9.38644787,-8.09301494,1.29343293,,train
MOL_99069,success,-9.261528,-8.12620007,1.13532792,,train
MOL_29850,success,-9.37885394,-8.14285328,1.23600066,,train
MOL_63655,success,-8.99176751,-8.51739078,0.47437673,,train
MOL_66153,success,-9.41136659,-8.06851919,1.3428474,,train
MOL_51429,success,-9.14900454,-8.32375692,0.82524761,,train
MOL_41672,success,-9.2115526,-8.30367641,0.9078762,,train
MOL_32476,success,-9.2062642,-8.2963706,0.9098936,,train
MOL_73611,success,-9.43739819,-8.08471741,1.35268078,,train
MOL_62458,success,-9.22156608,-8.32018219,0.90138389,,train
MOL_15812,success,-9.33008981,-8.23170517,1.09838464,,train
MOL_01946,success,-9.25022166,-8.23100952,1.01921214,,train
MOL_53792,success,-9.19704228,-8.28951688,0.9075254,,train
MOL_58923,success,-9.03176783,-8.49718819,0.53457965,,train
MOL_67900,success,-9.41779667,-8.00951516,1.40828152,,train
MOL_93548,success,-9.2478821,-8.24166464,1.00621745,,train
MOL_72862,success,-9.29169257,-8.14552484,1.14616773,,train
MOL_86063,success,-9.13292215,-8.38228015,0.750642,,train
MOL_60486,success,-8.7990731,-8.69504275,0.10403035,,train
MOL_53493,success,-9.66488594,-7.73382312,1.93106282,,train
MOL_76879,success,-9.27543327,-8.24320923,1.03222404,,train
MOL_84595,success,-9.19168004,-8.26720973,0.92447031,,train
MOL_72230,success,-8.95698121,-8.52953975,0.42744146,,train
MOL_26714,success,-9.08838962,-8.3832923,0.70509732,,train
MOL_72703,success,-9.18502195,-8.30090499,0.88411696,,train
MOL_41913,success,-9.46635562,-8.07500204,1.39135358,,train
MOL_59580,success,-9.47135778,-8.00693359,1.46442419,,train
MOL_67180,success,-8.82610206,-8.59792085,0.22818121,,train
MOL_52926,success,-9.30444058,-8.18731674,1.11712384,,train
MOL_55567,success,-8.82547269,-8.70764492,0.11782777,,train
MOL_57969,success,-9.21448696,-8.25139366,0.9630933,,train
MOL_99480,success,-9.29211712,-8.13689964,1.15521748,,train
MOL_52935,success,-9.39162507,-7.98931869,1.40230638,,train
MOL_94325,success,-9.45596318,-7.98593535,1.47002783,,train
MOL_53153,success,-9.33437739,-8.1396795,1.19469788,,train
MOL_55483,success,-9.4754616,-7.97613132,1.49933029,,train
MOL_07443,success,-9.20387211,-8.3101481,0.89372401,,train
MOL_94478,success,-9.29120533,-8.24968796,1.04151736,,train
MOL_01394,success,-9.33622107,-8.06781288,1.26840819,,train
MOL_09871,success,-9.17088635,-8.31261763,0.85826873,,train
MOL_65663,success,-9.27316686,-8.24902364,1.02414322,,train
MOL_66353,success,-9.1313821,-8.29333936,0.83804275,,train
MOL_27554,success,-9.48267044,-7.99631103,1.48635941,,train
MOL_10510,success,-9.30007845,-8.18309929,1.11697916,,train
MOL_87121,success,-9.06161347,-8.5100332,0.55158027,,train
MOL_26145,success,-9.21533696,-8.301723,0.91361396,,train
MOL_68130,success,-9.04743993,-8.42690492,0.62053501,,train
MOL_22873,success,-9.53023041,-7.86899571,1.6612347,,train
MOL_52871,success,-9.12757009,-8.41577446,0.71179563,,train
MOL_87193,success,-9.12670694,-8.43679199,0.68991495,,train
MOL_11428,success,-9.00373348,-8.52471747,0.47901602,,train
MOL_41018,success,-9.46343048,-7.99375654,1.46967394,,train
