mol_id,molecule_filename,predicted_gap,homo_ev,lumo_ev,actual_gap_ev,status,prediction_error_ev
MOL_54479,gqd_54479.mol,0.703129043,-9.26139264,-8.21272498,1.04866766,SUCCESS,0.345538617
MOL_50940,gqd_50940.mol,0.7032345458969643,-9.10884036,-8.38615609,0.72268427,SUCCESS,0.019449724103035693
MOL_20775,gqd_20775.mol,0.703286866,-9.20660058,-8.19314339,1.01345719,SUCCESS,0.31017032405615197
MOL_21598,gqd_21598.mol,0.7033129446839579,-8.94283851,-8.55576653,0.38707199,SUCCESS,-0.316240955
MOL_10931,gqd_10931.mol,0.7033319539041097,-9.49079072,-8.043436,1.44735472,SUCCESS,0.7440227660958904
MOL_96782,gqd_96782.mol,0.7033560568795075,-9.1225915,-8.35057072,0.77202078,SUCCESS,0.068664723
MOL_95033,gqd_95033.mol,0.7034411987539956,-8.83663788,-8.70891128,0.1277266,SUCCESS,-0.575714599
MOL_06245,gqd_06245.mol,0.7034769429950176,-9.23809242,-8.23320649,1.00488593,SUCCESS,0.3014089870049823
MOL_50288,gqd_50288.mol,0.7034997487908207,-9.08090762,-8.45557534,0.62533228,SUCCESS,-0.078167469
MOL_27328,gqd_27328.mol,0.7302674214262785,-9.15857857,-8.29673122,0.86184735,SUCCESS,0.13157992857372147
MOL_04635,gqd_04635.mol,0.7304383435569956,-9.24082312,-8.22293214,1.01789098,SUCCESS,0.28745263644300445
MOL_18065,gqd_18065.mol,0.7305236141104612,-9.60662823,-7.82606336,1.78056488,SUCCESS,1.0500412658895388
MOL_31067,gqd_31067.mol,0.7305719072396683,-8.94882839,-8.57821849,0.3706099,SUCCESS,-0.359962007
MOL_32067,gqd_32067.mol,0.7306657751348795,-8.90608408,-8.66876866,0.23731542,SUCCESS,-0.493350355
MOL_17873,gqd_17873.mol,0.730710695,-8.9213355,-8.54559142,0.37574408,SUCCESS,-0.354966615
MOL_42436,gqd_42436.mol,0.730875421,-9.22029289,-8.15934986,1.06094304,SUCCESS,0.3300676186159679
MOL_40326,gqd_40326.mol,0.7309324846995332,-9.19802846,-8.29985929,0.89816916,SUCCESS,0.16723667530046682
MOL_31378,gqd_31378.mol,0.7310082594095474,-9.37505124,-8.14444035,1.23061089,SUCCESS,0.4996026305904525
MOL_00212,gqd_00212.mol,0.7311588249306858,-9.15867344,-8.35075611,0.80791733,SUCCESS,0.076758505
MOL_52851,gqd_52851.mol,0.7058236032427732,-9.14503039,-8.34294047,0.80208992,SUCCESS,0.096266317
MOL_79640,gqd_79640.mol,0.7059847303557194,-9.21381179,-8.28280317,0.93100862,SUCCESS,0.22502388964428055
MOL_91174,gqd_91174.mol,0.7060665700889877,-9.26091531,-8.19174753,1.06916778,SUCCESS,0.36310120991101225
MOL_97413,gqd_97413.mol,0.7063264581350532,-9.12967277,-8.42479743,0.70487533,SUCCESS,-0.001451128
MOL_10756,gqd_10756.mol,0.706399184,-9.00220571,-8.50385244,0.49835327,SUCCESS,-0.208045914
MOL_49063,gqd_49063.mol,0.7064168852230365,-9.2075995,-8.26831522,0.93928428,SUCCESS,0.2328673947769635
MOL_47279,gqd_47279.mol,0.7065637164320098,-9.2823298,-8.24258367,1.03974614,SUCCESS,0.3331824235679903
MOL_11955,gqd_11955.mol,0.7067132898865196,-9.39899912,-8.1057787,1.29322042,SUCCESS,0.5865071301134803
MOL_67832,gqd_67832.mol,0.7068599508512898,-8.78425456,-8.75718534,0.02706922,SUCCESS,-0.679790731
MOL_75066,gqd_75066.mol,0.7068871646720043,-8.85657764,-8.65175956,0.20481808,SUCCESS,-0.502069085
MOL_83955,gqd_83955.mol,0.7197046986086306,-9.29315482,-8.17067079,1.12248403,SUCCESS,0.40277933139136946
MOL_57486,gqd_57486.mol,0.7197908660430529,-9.31185972,-8.14367463,1.16818509,SUCCESS,0.44839422395694706
MOL_74587,gqd_74587.mol,0.7199291245911775,-9.36139427,-8.02257133,1.33882295,SUCCESS,0.6188938254088224
MOL_20188,gqd_20188.mol,0.7199427523371751,-9.13611551,-8.35179832,0.78431719,SUCCESS,0.064374438
MOL_49493,gqd_49493.mol,0.7200906297364634,-9.20846049,-8.30854148,0.89991902,SUCCESS,0.17982839026353659
MOL_29090,gqd_29090.mol,0.7201988114682231,-9.22890844,-8.26852651,0.96038193,SUCCESS,0.24018311853177698
MOL_23035,gqd_23035.mol,0.7203657520304728,-9.29099651,-8.25495087,1.03604564,SUCCESS,0.3156798879695272
MOL_19440,gqd_19440.mol,0.720415846,-9.17320731,-8.19958107,0.97362624,SUCCESS,0.25321039423034897
MOL_05925,gqd_05925.mol,0.7204576517040215,-9.36966675,-8.16949834,1.20016841,SUCCESS,0.47971075829597853
MOL_68638,gqd_68638.mol,0.7205259418166721,-9.276173,-8.18196748,1.09420552,SUCCESS,0.373679578
MOL_63190,gqd_63190.mol,0.7206991965205213,-8.81053272,-8.72486821,0.08566451,SUCCESS,-0.635034687
MOL_03170,gqd_03170.mol,0.7207122843251855,-8.92665817,-8.56613973,0.36051845,SUCCESS,-0.360193834
MOL_54066,gqd_54066.mol,0.7208443491818287,-9.43125668,-8.02311352,1.40814316,SUCCESS,0.6872988108181713
MOL_47165,gqd_47165.mol,0.7208531919996685,-9.23275593,-8.24855215,0.98420378,SUCCESS,0.2633505880003315
MOL_39395,gqd_39395.mol,0.7209118702786136,-8.92493165,-8.60421887,0.32071278,SUCCESS,-0.40019909
MOL_13088,gqd_13088.mol,0.7209255571013485,-9.1325833,-8.39639479,0.7361885,SUCCESS,0.015262942898651488
MOL_27806,gqd_27806.mol,0.7209327575809219,-9.08162726,-8.41841249,0.66321477,SUCCESS,-0.057717988
MOL_69690,gqd_69690.mol,0.721326852,-9.25582511,-8.21546941,1.0403557,SUCCESS,0.3190288483238741
MOL_64021,gqd_64021.mol,0.7213419713967294,-9.11303131,-8.40860262,0.70442869,SUCCESS,-0.016913281
MOL_69760,gqd_69760.mol,0.7214200351361232,-9.48887142,-7.93282206,1.55604935,SUCCESS,0.8346293148638769
MOL_17767,gqd_17767.mol,0.7266086862198592,-9.21274758,-8.27690811,0.93583946,SUCCESS,0.20923077378014077
MOL_02339,gqd_02339.mol,0.7266490321825034,-9.26332245,-8.16404126,1.09928119,SUCCESS,0.3726321578174965
MOL_33274,gqd_33274.mol,0.7267053755448754,-8.866535,-8.66566436,0.20087064,SUCCESS,-0.525834736
MOL_81885,gqd_81885.mol,0.7267201267982074,-8.96389078,-8.62827988,0.33561091,SUCCESS,-0.391109217
MOL_76043,gqd_76043.mol,0.7267383008160481,-9.58038613,-7.88652607,1.69386006,SUCCESS,0.9671217591839519
MOL_25478,gqd_25478.mol,0.7267791133538847,-9.18243165,-8.37146862,0.81096302,SUCCESS,0.084183907
MOL_82398,gqd_82398.mol,0.7268154767816615,-9.26327649,-8.27965802,0.98361847,SUCCESS,0.25680299321833855
MOL_14587,gqd_14587.mol,0.7269101812257253,-9.07722666,-8.48281251,0.59441415,SUCCESS,-0.132496031
MOL_70376,gqd_70376.mol,0.727440341,-9.18692379,-8.36342028,0.82350352,SUCCESS,0.096063179
MOL_70628,gqd_70628.mol,0.7274869583665615,-9.16927567,-8.38246854,0.78680713,SUCCESS,0.059320172
MOL_18515,gqd_18515.mol,0.7042320069699531,-9.37090111,-8.08104533,1.28985578,SUCCESS,0.5856237730300468
MOL_35855,gqd_35855.mol,0.7042329792956726,-9.10154175,-8.35765658,0.74388517,SUCCESS,0.039652191
MOL_99384,gqd_99384.mol,0.7042510727634099,-9.46584385,-7.92824291,1.53760094,SUCCESS,0.833349867
MOL_10873,gqd_10873.mol,0.7045288455139964,-9.45740246,-7.91261206,1.5447904,SUCCESS,0.8402615544860035
MOL_88394,gqd_88394.mol,0.7046398520546325,-9.28472773,-8.21098881,1.07373892,SUCCESS,0.3690990679453675
MOL_46099,gqd_46099.mol,0.7048777582363174,-9.41932807,-7.94399321,1.47533486,SUCCESS,0.7704571017636827
MOL_04694,gqd_04694.mol,0.7049605254686052,-9.190695,-8.2551736,0.9355214,SUCCESS,0.23056087453139473
MOL_07406,gqd_07406.mol,0.70498099,-8.99455367,-8.53577396,0.45877972,SUCCESS,-0.24620127
MOL_47219,gqd_47219.mol,0.7050029536798056,-8.91260345,-8.62673912,0.28586433,SUCCESS,-0.419138624
MOL_94704,gqd_94704.mol,0.7052208507644628,-9.2941666,-8.21031245,1.08385415,SUCCESS,0.37863329923553724
MOL_13807,gqd_13807.mol,0.7252399897151067,-8.98674063,-8.60229687,0.38444376,SUCCESS,-0.34079623
MOL_39473,gqd_39473.mol,0.7253102851016854,-9.27366562,-8.18596439,1.08770123,SUCCESS,0.3623909448983146
MOL_44984,gqd_44984.mol,0.7254980508987108,-9.20310706,-8.28276211,0.92034494,SUCCESS,0.19484688910128922
MOL_64297,gqd_64297.mol,0.7255062686782393,-9.02229185,-8.50504926,0.51724259,SUCCESS,-0.208263679
MOL_99386,gqd_99386.mol,0.7255540228933257,-9.42760352,-8.02284452,1.404759,SUCCESS,0.6792049771066744
MOL_16716,gqd_16716.mol,0.7256552536406526,-9.26992445,-8.16250031,1.10742414,SUCCESS,0.38176888635934736
MOL_30349,gqd_30349.mol,0.7256745593486857,-9.24714582,-8.23213862,1.0150072,SUCCESS,0.28933264065131437
MOL_78197,gqd_78197.mol,0.7256967023935453,-9.10333946,-8.39468079,0.70865867,SUCCESS,-0.017038032
MOL_83125,gqd_83125.mol,0.7258393150278237,-8.83250907,-8.66185927,0.1706498,SUCCESS,-0.555189515
MOL_73118,gqd_73118.mol,0.7258534681569808,-9.21170806,-8.27429059,0.93741747,SUCCESS,0.21156400184301916
MOL_94092,gqd_94092.mol,0.7158653298802506,-8.72754914,-8.70295615,0.02459299,SUCCESS,-0.69127234
MOL_16704,gqd_16704.mol,0.7158999329589534,-9.23639491,-8.21563179,1.02076312,SUCCESS,0.30486318704104665
